image,precision,recall,f1,iou,dice,accuracy,specificity,error
01.png,0.549548,0.785988,0.646838,0.47802,0.646838,0.956376,0.9655,0.353162
02.png,0.661738,0.728107,0.693337,0.530617,0.693337,0.957003,0.973376,0.306663
03.png,0.803621,0.70727,0.752373,0.603044,0.752373,0.95256,0.98039,0.247627
04.png,0.637953,0.726662,0.679424,0.514491,0.679424,0.956252,0.971898,0.320576
05.png,0.689093,0.734535,0.711089,0.551698,0.711089,0.95553,0.973321,0.288911
06.png,0.762404,0.769022,0.765699,0.62035,0.765699,0.953559,0.973762,0.234301
07.png,0.455496,0.763711,0.570645,0.399232,0.570645,0.930688,0.941405,0.429355
08.png,0.716773,0.652084,0.6829,0.518488,0.6829,0.965162,0.984272,0.3171
09.png,0.793279,0.644393,0.711127,0.551743,0.711127,0.944673,0.980157,0.288873
10.png,0.513546,0.711997,0.596704,0.425216,0.596704,0.945599,0.959594,0.403296
11.png,0.701777,0.714071,0.707871,0.547833,0.707871,0.962049,0.979116,0.292129
12.png,0.753295,0.707829,0.729855,0.574623,0.729855,0.950495,0.975814,0.270145
13.png,0.627778,0.770484,0.691848,0.528875,0.691848,0.957302,0.969695,0.308152
14.png,0.725738,0.746039,0.735748,0.581964,0.735748,0.965052,0.980331,0.264252
15.png,0.848432,0.702207,0.768425,0.623937,0.768425,0.961732,0.98753,0.231575
16.png,0.623387,0.573893,0.597617,0.426144,0.597617,0.941782,0.971754,0.402383
17.png,0.693178,0.743809,0.717602,0.559578,0.717602,0.959935,0.975813,0.282398
18.png,0.814756,0.727422,0.768616,0.624189,0.768616,0.955689,0.981383,0.231384
19.png,0.646248,0.801194,0.715428,0.556938,0.715428,0.950368,0.962965,0.284572
20.png,0.656228,0.720536,0.68688,0.52309,0.68688,0.957316,0.97377,0.31312
21.png,0.840992,0.719442,0.775483,0.633297,0.775483,0.962958,0.986724,0.224517
22.png,0.496622,0.815406,0.617287,0.446432,0.617287,0.924078,0.932901,0.382713
23.png,0.57192,0.759973,0.65267,0.484418,0.65267,0.945128,0.958603,0.34733
24.png,0.857823,0.716233,0.78066,0.640232,0.78066,0.959598,0.986754,0.21934
25.png,0.689642,0.604297,0.644155,0.475095,0.644155,0.954754,0.980231,0.355845
26.png,0.674161,0.705315,0.689386,0.526002,0.689386,0.958093,0.975936,0.310614
27.png,0.753479,0.666416,0.707278,0.547123,0.707278,0.957284,0.981698,0.292722
28.png,0.70522,0.690543,0.697804,0.535867,0.697804,0.947836,0.97242,0.302196
29.png,0.656508,0.726233,0.689612,0.526266,0.689612,0.957205,0.973384,0.310388
30.png,0.757064,0.670032,0.710894,0.551463,0.710894,0.952977,0.979696,0.289106
31.png,0.706838,0.723899,0.715267,0.556743,0.715267,0.951179,0.972213,0.284733
32.png,0.718926,0.709651,0.714258,0.555522,0.714258,0.956525,0.976995,0.285742
33.png,0.823509,0.739921,0.77948,0.638646,0.77948,0.960846,0.983639,0.22052
34.png,0.64858,0.68031,0.664066,0.49708,0.664066,0.953234,0.973129,0.335934
35.png,0.672475,0.723928,0.697254,0.535218,0.697254,0.948028,0.968224,0.302746
36.png,0.844654,0.761355,0.800844,0.66784,0.800844,0.960269,0.983586,0.199156
37.png,0.687584,0.702815,0.695117,0.532704,0.695117,0.957699,0.976476,0.304883
38.png,0.649161,0.673242,0.660983,0.493633,0.660983,0.953045,0.973457,0.339017
39.png,0.771669,0.734447,0.752598,0.603333,0.752598,0.958005,0.9793,0.247402
40.png,0.536441,0.761848,0.629577,0.459403,0.629577,0.931433,0.945478,0.370423
41.png,0.639252,0.667302,0.652976,0.484754,0.652976,0.949836,0.971339,0.347024
42.png,0.714865,0.650599,0.68122,0.516553,0.68122,0.946776,0.975144,0.31878
43.png,0.50786,0.793786,0.619419,0.448666,0.619419,0.936262,0.946223,0.380581
44.png,0.67461,0.689905,0.682172,0.517648,0.682172,0.953081,0.973801,0.317828
45.png,0.769355,0.722509,0.745196,0.593875,0.745196,0.961286,0.981585,0.254804
46.png,0.401676,0.707536,0.512436,0.34448,0.512436,0.93771,0.948875,0.487564
